sector,buyer_tier,macro_scenario,amount_try,term_days,sme_age_months,sme_prior_invoices,sme_ontime_ratio,buyer_repeat_count,buyer_avg_days_late,true_default_prob,defaulted,days_late
food_beverage,mid_market,high_inflation,37467.88,70,25,11,0.913,2,1.5,0.0493,0,0
retail,small_business,stable,71415.49,15,65,37,0.901,2,4.6,0.0691,0,0
textile,small_business,stable,57356.81,92,46,26,0.808,5,6.3,0.1506,0,0
textile,small_business,stable,106719.6,78,17,9,0.694,4,0.2,0.1231,0,0
retail,small_business,high_inflation,16830.33,40,12,7,0.981,4,4.6,0.1084,0,14
construction,micro,stable,87891.31,137,123,43,0.862,6,0.3,0.3851,1,14
retail,enterprise,stable,24160.57,55,57,30,0.819,2,0.4,0.017,0,0
construction,small_business,stable,79744.06,96,48,24,0.755,5,8.3,0.2888,1,88
electronics,enterprise,high_inflation,65782.3,48,27,9,0.849,3,0.9,0.0267,0,0
logistics,mid_market,stable,15526.63,47,39,15,0.764,3,6.6,0.07,0,0
retail,enterprise,stable,35210.21,17,11,8,0.892,5,0.3,0.0132,0,0
electronics,mid_market,stable,7124.41,78,9,4,0.749,3,14.9,0.0783,0,0
electronics,enterprise,high_inflation,194154.64,84,139,59,0.763,2,3.2,0.0355,0,5
services,enterprise,currency_shock,7391.91,15,7,5,0.93,3,5.5,0.0225,0,0
services,small_business,stable,12891.81,32,92,43,0.865,5,5.5,0.0666,0,0
textile,mid_market,currency_shock,5000.0,95,36,23,0.647,7,9.3,0.1585,0,0
textile,mid_market,high_inflation,89116.68,99,60,41,0.847,6,2.1,0.0944,0,0
agriculture,mid_market,currency_shock,213515.55,85,119,47,0.57,2,2.6,0.1783,0,0
food_beverage,mid_market,high_inflation,22294.79,48,6,3,0.809,3,3.8,0.0496,0,3
food_beverage,small_business,stable,11925.18,64,101,43,0.927,1,15.3,0.0981,0,0
logistics,mid_market,high_inflation,186431.12,72,6,3,0.742,2,2.0,0.0979,0,0
automotive,small_business,high_inflation,18862.07,70,47,14,0.71,2,5.8,0.1467,0,0
retail,mid_market,stable,242640.59,48,81,43,0.954,6,2.0,0.0378,0,0
electronics,small_business,stable,36991.65,79,17,14,0.865,1,6.5,0.1221,0,0
textile,small_business,currency_shock,76918.31,94,14,8,0.838,2,11.9,0.3116,0,37
construction,mid_market,stable,101636.03,113,51,26,0.801,5,0.4,0.1206,0,9
textile,small_business,high_inflation,167674.6,97,6,0,0.883,1,0.0,0.1724,0,0
construction,mid_market,high_inflation,33366.08,113,27,7,0.839,2,6.2,0.1976,1,14
retail,small_business,stable,21289.74,40,15,5,0.956,1,1.2,0.0705,1,107
food_beverage,small_business,high_inflation,25427.74,51,28,10,0.654,1,1.5,0.1002,0,0
agriculture,mid_market,currency_shock,112935.14,109,36,21,0.993,5,12.7,0.2167,0,0
textile,small_business,stable,265123.69,83,17,11,0.623,3,6.5,0.1566,0,0
textile,small_business,currency_shock,13897.22,114,47,20,0.932,6,0.1,0.2331,0,0
construction,micro,high_inflation,136630.33,124,28,17,0.738,2,3.6,0.5992,0,0
food_beverage,mid_market,currency_shock,29138.26,59,41,16,0.808,8,11.1,0.0822,0,0
textile,small_business,high_inflation,17662.32,73,6,5,0.834,4,33.2,0.3331,0,0
construction,small_business,stable,109736.53,157,151,51,0.779,1,0.3,0.2847,0,0
food_beverage,small_business,high_inflation,8768.35,49,43,21,0.715,4,7.1,0.1138,0,7
automotive,mid_market,stable,115628.13,66,134,51,0.799,1,3.1,0.0459,0,0
food_beverage,mid_market,stable,5000.0,77,27,17,0.835,3,13.1,0.0516,0,0
logistics,micro,stable,18903.72,62,7,5,0.861,5,2.9,0.1956,0,0
food_beverage,mid_market,stable,20445.79,75,6,2,0.819,3,2.8,0.0391,0,0
textile,small_business,stable,84455.84,95,6,3,0.555,5,12.0,0.1952,0,0
automotive,micro,high_inflation,133905.86,90,61,37,0.902,3,1.0,0.1927,1,33
construction,mid_market,high_inflation,74897.03,90,91,42,0.949,4,4.4,0.1628,1,58
services,enterprise,stable,33408.78,50,6,3,0.884,5,8.6,0.017,0,0
services,small_business,high_inflation,54827.37,67,77,38,0.887,1,2.9,0.1028,0,3
electronics,enterprise,stable,42000.74,77,8,8,0.919,8,5.9,0.0249,0,19
construction,micro,high_inflation,74698.77,93,205,61,0.897,2,1.0,0.4561,0,0
automotive,small_business,high_inflation,124177.52,74,6,3,0.881,5,1.2,0.1213,0,0
textile,small_business,stable,176679.01,98,42,22,0.819,3,9.2,0.1659,0,0
automotive,small_business,currency_shock,91662.58,67,14,6,0.771,1,0.0,0.1521,0,1
services,small_business,stable,42369.3,38,36,13,0.993,6,4.2,0.0626,0,0
textile,mid_market,high_inflation,20210.41,74,97,49,0.687,2,5.9,0.1008,0,0
electronics,small_business,stable,67923.47,66,56,29,0.91,5,0.8,0.0949,0,0
agriculture,small_business,currency_shock,56485.08,106,45,11,0.803,5,4.6,0.3769,0,3
food_beverage,enterprise,currency_shock,44871.2,77,31,21,0.986,1,0.6,0.0264,0,0
textile,mid_market,high_inflation,35750.92,102,65,35,0.912,5,0.7,0.0887,0,0
automotive,mid_market,stable,11220.49,85,15,10,0.889,3,8.1,0.0554,0,33
food_beverage,mid_market,stable,19685.1,49,71,41,0.887,2,0.6,0.0312,0,0
services,small_business,stable,49009.53,15,60,30,0.833,2,9.3,0.0674,0,0
textile,mid_market,currency_shock,5000.0,102,86,38,0.84,6,2.8,0.1257,0,0
construction,small_business,stable,17639.23,101,39,21,0.832,5,8.2,0.2848,0,5
electronics,enterprise,stable,22409.02,57,30,12,0.896,1,2.8,0.0209,0,0
textile,micro,high_inflation,10376.28,79,136,46,0.777,2,9.8,0.3314,1,59
construction,mid_market,stable,115743.89,137,283,50,0.83,5,9.1,0.1676,0,0
automotive,mid_market,currency_shock,28316.19,98,116,43,0.857,2,3.3,0.0936,0,0
retail,small_business,currency_shock,190551.52,20,25,18,0.801,4,0.8,0.1193,0,0
retail,mid_market,stable,51356.01,38,104,39,0.557,4,1.8,0.0419,0,0
electronics,small_business,stable,68872.14,43,6,4,0.77,3,2.4,0.0942,1,42
textile,small_business,stable,75226.87,64,84,42,0.624,2,4.3,0.1346,0,0
textile,small_business,currency_shock,177041.45,94,94,40,0.8,3,20.6,0.382,1,82
automotive,enterprise,currency_shock,5000.0,88,50,23,0.87,1,0.8,0.0354,0,0
automotive,small_business,stable,40255.9,47,148,59,0.816,4,5.0,0.0875,0,0
food_beverage,enterprise,stable,258778.63,40,33,18,0.747,1,8.2,0.0169,0,0
agriculture,small_business,high_inflation,9635.29,91,43,24,0.884,2,4.1,0.2624,0,0
logistics,small_business,currency_shock,15438.13,67,50,26,0.782,5,1.1,0.2351,0,0
textile,small_business,currency_shock,90969.92,61,12,9,0.828,3,0.7,0.1967,0,0
construction,small_business,high_inflation,30583.79,157,31,15,0.994,4,5.5,0.4254,0,10
retail,small_business,currency_shock,65615.4,30,38,21,0.784,2,2.8,0.1358,0,2
logistics,mid_market,currency_shock,16477.84,15,71,26,0.893,1,13.3,0.117,1,26
agriculture,mid_market,stable,17123.43,110,24,11,0.593,6,2.5,0.1089,0,0
food_beverage,small_business,high_inflation,7333.47,36,19,16,0.829,2,0.6,0.0835,0,0
automotive,mid_market,high_inflation,40056.77,50,12,6,0.822,1,2.4,0.0575,0,0
textile,small_business,stable,5381.8,135,196,52,0.756,2,14.8,0.2246,1,18
logistics,mid_market,high_inflation,119199.37,15,34,17,0.666,6,6.0,0.0831,0,0
construction,small_business,currency_shock,89866.62,123,27,17,0.832,3,1.5,0.4618,0,4
automotive,micro,currency_shock,108001.51,116,6,2,0.721,2,1.0,0.2975,1,69
construction,small_business,currency_shock,51471.67,106,6,4,0.876,5,15.4,0.6106,0,4
food_beverage,small_business,currency_shock,25755.83,87,23,14,0.613,2,12.3,0.2085,0,0
construction,mid_market,high_inflation,8840.11,110,31,10,0.564,0,11.6,0.2509,0,28
food_beverage,mid_market,high_inflation,48491.09,86,6,1,0.911,3,0.5,0.0515,0,0
textile,enterprise,stable,106482.18,110,32,16,0.743,3,1.9,0.0313,0,6
automotive,small_business,high_inflation,27623.6,80,40,19,0.899,1,0.6,0.1215,0,0
services,mid_market,stable,25466.19,34,40,21,0.813,1,7.2,0.0361,0,0
logistics,enterprise,high_inflation,17945.4,48,274,49,0.678,5,0.3,0.0362,0,0
textile,mid_market,high_inflation,125718.75,85,81,47,0.863,3,9.4,0.1083,0,0
construction,small_business,stable,224665.0,137,26,17,0.784,1,1.5,0.2751,0,0
services,enterprise,stable,51941.6,15,14,9,0.479,3,1.1,0.0131,0,0
food_beverage,small_business,high_inflation,37268.52,54,8,6,0.717,0,8.7,0.1218,0,0
textile,enterprise,stable,123008.52,83,19,11,0.962,1,6.0,0.0287,0,0
automotive,small_business,stable,20951.19,68,40,26,0.916,5,4.4,0.0916,0,0
textile,mid_market,currency_shock,24543.63,61,6,2,0.945,1,0.4,0.0925,0,0
agriculture,enterprise,stable,36248.59,124,63,28,0.923,5,9.8,0.0526,0,0
textile,small_business,stable,5000.0,88,98,48,0.9,2,2.8,0.1286,0,0
construction,small_business,stable,34983.5,106,29,8,0.703,3,2.2,0.2587,0,0
food_beverage,mid_market,currency_shock,34433.16,58,32,14,0.813,3,1.8,0.0632,0,0
logistics,small_business,high_inflation,99834.03,49,19,7,0.869,1,3.0,0.1712,0,0
automotive,mid_market,stable,79811.54,90,6,2,0.835,3,0.4,0.0463,0,12
automotive,small_business,high_inflation,24368.42,79,43,24,0.886,4,0.4,0.1208,1,25
services,small_business,stable,30842.98,50,100,44,0.767,4,6.2,0.0782,0,0
construction,mid_market,high_inflation,153970.23,125,6,3,0.819,3,5.3,0.2034,0,2
retail,mid_market,stable,180388.2,61,13,5,0.944,2,9.9,0.0507,0,5
textile,micro,stable,35678.97,89,41,28,0.905,4,2.4,0.1906,0,0
construction,small_business,currency_shock,53719.36,94,76,45,0.659,2,6.8,0.5144,0,0
agriculture,mid_market,high_inflation,42391.99,74,19,11,0.889,4,6.1,0.1283,0,0
textile,small_business,high_inflation,9425.03,77,6,4,0.858,4,9.1,0.2075,0,1
textile,small_business,stable,222123.44,65,62,18,0.675,2,2.7,0.1265,0,0
food_beverage,small_business,high_inflation,22500.22,62,6,3,0.639,3,2.4,0.1096,0,0
electronics,mid_market,high_inflation,10330.82,63,50,29,0.545,3,22.6,0.1296,0,0
agriculture,enterprise,stable,84326.55,91,17,13,0.824,4,2.4,0.0391,0,0
electronics,mid_market,high_inflation,51615.97,29,62,32,0.848,3,6.5,0.0664,0,0
logistics,small_business,stable,81494.57,47,62,24,0.722,3,2.3,0.1257,0,0
textile,mid_market,high_inflation,18316.24,116,53,19,0.777,4,4.1,0.1105,0,0
agriculture,small_business,currency_shock,113786.83,61,29,17,0.681,1,11.3,0.3868,0,0
construction,mid_market,currency_shock,24299.33,127,76,38,0.958,6,0.9,0.2175,0,0
retail,enterprise,stable,29655.28,15,23,12,0.712,6,0.6,0.0142,0,0
services,mid_market,high_inflation,19213.9,49,6,3,0.745,2,2.2,0.0489,0,1
construction,small_business,stable,5000.0,116,34,18,0.905,4,2.0,0.2457,0,0
food_beverage,small_business,high_inflation,51345.57,46,71,38,0.912,1,0.7,0.0854,0,5
electronics,mid_market,currency_shock,7083.19,47,80,34,0.711,5,0.7,0.084,0,0
food_beverage,small_business,stable,44651.19,32,8,5,0.865,1,2.3,0.0606,0,0
construction,small_business,stable,79101.85,115,12,5,0.926,5,0.6,0.2319,0,0
construction,mid_market,stable,37926.58,98,26,14,0.729,7,2.8,0.1261,0,0
logistics,small_business,stable,47473.9,40,149,35,0.645,1,6.9,0.1424,0,0
electronics,micro,stable,141618.87,84,67,34,0.823,6,5.2,0.1836,0,0
construction,micro,stable,37427.04,106,11,4,0.893,0,8.9,0.433,1,18
textile,small_business,stable,62421.21,121,41,22,0.843,3,0.5,0.1401,1,18
textile,mid_market,stable,249352.37,92,41,13,0.781,3,1.9,0.0669,1,71
electronics,small_business,stable,14136.64,81,28,13,0.856,1,7.6,0.1273,0,0
construction,small_business,currency_shock,55310.63,118,6,1,0.802,2,1.8,0.4625,1,91
automotive,small_business,stable,19174.35,29,31,14,0.836,2,1.7,0.0709,0,0
logistics,enterprise,high_inflation,40786.11,83,15,6,0.632,2,2.6,0.047,0,4
automotive,small_business,high_inflation,36469.28,89,12,2,0.869,3,4.4,0.144,1,30
logistics,small_business,high_inflation,12385.49,41,12,6,0.903,3,0.6,0.1494,0,0
retail,small_business,currency_shock,22562.13,33,30,18,0.907,4,3.4,0.1335,0,0
textile,mid_market,high_inflation,90040.89,97,109,51,0.954,3,0.9,0.086,0,0
construction,small_business,stable,30131.29,121,113,53,0.615,7,2.8,0.2895,0,0
retail,small_business,currency_shock,104227.71,39,14,5,0.938,0,5.1,0.1432,0,0
automotive,small_business,high_inflation,5000.0,75,6,3,0.746,1,0.7,0.1268,0,0
services,small_business,high_inflation,93074.19,36,12,8,0.847,4,0.7,0.0832,0,9
automotive,mid_market,high_inflation,64191.66,59,52,23,0.838,3,0.8,0.0568,0,0
automotive,mid_market,currency_shock,94870.24,64,351,52,0.899,8,0.7,0.0727,0,17
construction,mid_market,high_inflation,71402.92,109,34,9,0.434,6,1.1,0.1962,0,0
services,enterprise,currency_shock,13790.15,15,36,15,0.866,5,0.8,0.0201,0,0
automotive,mid_market,high_inflation,51578.51,89,21,12,0.817,4,7.4,0.0799,0,0
textile,micro,high_inflation,12358.15,122,232,46,0.814,4,1.0,0.3041,0,0
logistics,small_business,high_inflation,15789.81,67,11,2,0.909,4,8.8,0.2163,0,0
retail,mid_market,stable,86413.11,15,46,21,0.772,1,2.4,0.0342,0,0
food_beverage,mid_market,high_inflation,25546.54,49,25,12,0.846,1,0.2,0.0439,0,0
retail,mid_market,stable,78556.54,41,26,17,0.845,3,2.4,0.0387,0,5
logistics,mid_market,currency_shock,281893.44,36,54,25,0.914,4,10.0,0.1217,0,0
retail,small_business,currency_shock,28064.52,52,31,12,0.954,1,1.4,0.1366,0,0
services,mid_market,stable,15634.26,63,15,14,0.813,3,0.6,0.0346,0,0
construction,small_business,high_inflation,53296.6,97,6,4,0.897,5,0.8,0.3071,0,0
construction,mid_market,stable,22379.35,104,103,38,0.824,2,6.6,0.1384,0,0
textile,mid_market,stable,85858.18,101,69,27,0.914,2,1.4,0.0646,0,11
construction,small_business,stable,9108.41,119,23,16,0.896,0,3.4,0.2608,0,0
food_beverage,small_business,currency_shock,43624.32,90,15,6,0.781,0,4.6,0.1615,0,0
logistics,mid_market,currency_shock,56257.71,26,6,4,0.919,6,6.3,0.1038,0,1
textile,mid_market,high_inflation,32476.54,65,35,15,0.84,4,19.1,0.124,0,0
agriculture,small_business,stable,216646.4,111,35,19,0.817,2,8.0,0.2333,0,10
food_beverage,small_business,currency_shock,10604.65,43,24,13,0.812,3,19.6,0.182,1,33
textile,mid_market,currency_shock,47272.85,59,10,7,0.638,5,1.3,0.1073,0,2
automotive,mid_market,high_inflation,89705.2,66,6,2,0.776,2,0.0,0.0588,0,18
construction,small_business,currency_shock,186512.17,110,41,19,0.894,3,1.3,0.4238,1,88
electronics,small_business,currency_shock,13866.97,40,77,32,0.696,6,1.8,0.1685,1,35
construction,mid_market,stable,68539.7,126,37,20,0.825,5,6.0,0.1487,0,0
services,small_business,stable,8181.8,15,12,7,0.715,2,6.8,0.0661,0,0
food_beverage,micro,stable,97166.01,71,23,11,0.738,4,2.7,0.1188,0,0
textile,enterprise,currency_shock,67456.79,70,15,8,0.958,2,24.9,0.0744,0,0
services,enterprise,stable,71858.13,46,8,8,0.549,1,1.0,0.0153,0,0
logistics,small_business,high_inflation,80293.12,68,31,20,0.545,3,6.0,0.2339,0,0
construction,small_business,stable,9845.25,134,160,56,0.806,4,4.8,0.298,1,21
textile,small_business,high_inflation,17471.16,40,68,27,0.4,5,2.4,0.1708,0,22
electronics,small_business,stable,93429.32,49,6,2,0.932,4,0.0,0.0841,0,15
construction,mid_market,currency_shock,58418.54,98,21,11,0.927,4,26.7,0.3604,1,47
electronics,small_business,stable,67759.51,34,7,0,0.509,1,0.3,0.0927,0,0
automotive,mid_market,stable,54491.66,77,7,4,0.97,3,2.7,0.0443,0,0
construction,small_business,stable,73201.43,110,26,20,0.889,6,5.3,0.2661,0,0
agriculture,enterprise,stable,223757.44,98,21,12,0.59,6,9.0,0.0533,0,0
automotive,small_business,currency_shock,243814.33,63,49,20,0.968,9,0.1,0.1376,0,0
food_beverage,enterprise,stable,58013.35,63,46,31,0.96,3,7.5,0.0171,0,0
textile,mid_market,stable,145251.14,121,29,22,0.858,1,3.3,0.0761,0,0
construction,small_business,high_inflation,113620.56,125,12,9,0.809,0,4.4,0.3993,0,0
electronics,enterprise,currency_shock,22358.77,52,10,5,0.816,5,4.5,0.0398,0,0
food_beverage,small_business,high_inflation,14744.02,22,26,12,0.601,2,3.3,0.0917,0,0
textile,mid_market,stable,12548.36,120,360,52,0.898,4,15.5,0.1016,1,56
construction,mid_market,high_inflation,51392.53,109,6,2,0.726,4,18.0,0.2705,0,0
logistics,small_business,stable,56730.39,61,140,49,0.699,2,8.7,0.1634,0,0
textile,mid_market,stable,51066.53,82,18,13,0.854,1,11.5,0.0808,0,0
electronics,micro,stable,57845.72,73,83,54,0.721,2,3.9,0.1753,1,45
logistics,mid_market,stable,357317.07,28,48,19,0.851,7,19.5,0.0821,0,0
construction,mid_market,stable,34806.66,130,37,24,0.87,8,13.7,0.1795,0,0
construction,small_business,currency_shock,15951.16,115,99,49,0.639,6,14.3,0.6804,0,0
food_beverage,small_business,stable,34191.63,78,20,5,0.849,4,0.3,0.0724,0,0
textile,micro,high_inflation,80313.79,72,215,47,0.617,3,13.9,0.3771,0,0
textile,micro,high_inflation,11594.33,98,32,18,0.945,3,6.2,0.3045,1,98
services,mid_market,stable,27534.61,42,17,10,0.863,5,2.0,0.0317,0,12
retail,small_business,high_inflation,12063.4,49,67,46,0.787,4,2.5,0.1164,0,0
electronics,mid_market,currency_shock,13271.49,63,34,10,0.847,6,4.4,0.0967,0,0
construction,small_business,high_inflation,73050.5,109,31,18,0.938,2,2.1,0.3307,0,0
food_beverage,mid_market,stable,32740.89,59,61,32,0.974,4,12.4,0.0438,0,0
food_beverage,small_business,stable,5000.0,57,19,11,0.83,6,4.7,0.0756,0,0
automotive,small_business,high_inflation,30551.35,65,107,44,0.721,5,2.0,0.1275,0,0
food_beverage,small_business,high_inflation,186298.83,99,12,4,0.857,6,6.3,0.1328,0,0
construction,mid_market,stable,54792.17,100,134,58,0.799,3,1.1,0.1172,0,0
food_beverage,mid_market,stable,91129.61,32,88,40,0.58,2,0.1,0.0316,0,2
food_beverage,small_business,high_inflation,237402.27,37,33,21,0.856,4,1.4,0.0851,0,3
automotive,mid_market,stable,38343.7,72,8,3,0.877,2,5.3,0.0487,0,0
automotive,small_business,stable,17784.83,68,22,9,0.703,3,1.3,0.0909,0,8
food_beverage,mid_market,currency_shock,32622.16,59,89,56,0.931,3,9.8,0.0754,0,0
food_beverage,mid_market,currency_shock,156986.96,65,19,11,0.834,1,5.6,0.0725,0,0
services,mid_market,high_inflation,140984.12,15,30,14,0.986,5,3.4,0.0375,0,4
electronics,mid_market,high_inflation,93455.88,35,6,2,0.882,4,0.3,0.0561,0,0
retail,small_business,currency_shock,144769.59,67,6,1,0.811,2,0.1,0.1498,0,0
electronics,mid_market,high_inflation,123760.72,65,78,42,0.783,2,5.3,0.08,0,0
textile,small_business,currency_shock,27333.95,62,19,11,0.791,2,4.0,0.2224,0,0
food_beverage,small_business,stable,320462.44,78,6,5,0.821,4,10.1,0.097,0,0
construction,mid_market,high_inflation,44492.17,84,42,26,0.766,4,11.4,0.2064,0,0
retail,mid_market,stable,37040.64,64,22,8,0.673,4,0.3,0.0437,0,0
retail,micro,high_inflation,77204.94,38,141,55,0.895,6,4.8,0.168,1,23
automotive,mid_market,high_inflation,48323.5,79,19,11,0.84,3,4.8,0.0706,0,12
services,mid_market,stable,24202.81,26,20,8,0.726,1,0.3,0.029,0,0
retail,enterprise,high_inflation,68304.81,36,6,5,0.868,2,33.9,0.0441,0,3
automotive,small_business,stable,109272.02,73,37,16,0.883,3,3.4,0.0923,0,0
electronics,small_business,high_inflation,20401.68,54,94,39,0.859,6,3.7,0.1399,0,0
food_beverage,mid_market,high_inflation,100162.31,76,47,21,0.631,4,1.9,0.0578,0,0
textile,micro,stable,22313.24,63,81,42,0.828,5,0.5,0.1645,0,0
construction,small_business,stable,44439.25,136,66,16,0.81,5,2.3,0.2784,0,0
textile,small_business,high_inflation,46481.29,71,68,45,0.568,4,26.7,0.3294,0,3
food_beverage,small_business,stable,39184.0,55,34,16,0.768,1,5.7,0.0791,0,0
logistics,enterprise,stable,56170.53,15,33,13,0.867,1,1.2,0.0203,0,20
electronics,small_business,high_inflation,209121.58,67,6,0,0.765,3,9.7,0.1832,0,0
services,small_business,stable,76757.25,15,68,42,0.585,5,6.9,0.0699,0,12
retail,small_business,currency_shock,6849.98,26,206,50,0.788,1,9.9,0.1611,0,0
services,small_business,high_inflation,59663.26,15,23,18,0.884,1,4.0,0.0798,0,0
food_beverage,enterprise,stable,108531.9,68,6,2,0.757,2,4.3,0.0174,0,0
services,micro,high_inflation,35102.92,30,86,44,0.448,5,1.0,0.1421,0,0
automotive,mid_market,currency_shock,27735.36,53,69,36,0.84,3,1.6,0.0724,0,0
construction,micro,stable,41976.13,113,42,22,0.853,0,33.4,0.7374,1,120
food_beverage,small_business,stable,432134.11,56,12,8,0.693,1,14.1,0.1011,0,0
automotive,small_business,stable,16756.36,81,23,11,0.832,3,4.2,0.1003,0,0
textile,small_business,currency_shock,56579.19,80,6,4,0.68,4,1.8,0.2368,1,52
textile,mid_market,stable,13502.48,124,63,26,0.774,4,8.1,0.091,0,0
textile,small_business,currency_shock,12863.98,56,26,11,0.88,2,2.8,0.2006,0,0
logistics,mid_market,currency_shock,27555.12,17,60,31,0.79,2,9.5,0.113,0,1
automotive,mid_market,stable,213404.47,35,6,3,0.913,5,0.0,0.0337,0,0
agriculture,small_business,stable,27277.55,93,30,10,0.898,4,3.7,0.1856,0,0
automotive,mid_market,high_inflation,18965.84,54,112,55,0.814,5,0.6,0.0556,0,0
textile,mid_market,stable,53430.89,89,67,34,0.884,1,0.8,0.061,0,0
construction,small_business,high_inflation,38232.53,109,6,2,0.89,4,21.9,0.5459,0,0
textile,small_business,currency_shock,87436.65,106,67,26,0.765,0,0.9,0.2486,0,0
construction,small_business,currency_shock,75114.45,126,18,11,0.724,8,6.9,0.5722,0,0
retail,small_business,stable,83040.87,42,70,27,0.623,0,0.7,0.0807,0,0
textile,small_business,stable,9256.53,85,9,5,0.732,4,4.6,0.1434,0,0
textile,small_business,high_inflation,69574.19,109,24,6,0.878,4,0.2,0.1823,1,27
food_beverage,small_business,currency_shock,464658.5,48,6,6,0.825,4,3.0,0.1237,0,0
services,mid_market,high_inflation,88702.21,18,119,36,0.936,0,3.8,0.0395,0,0
food_beverage,enterprise,stable,21822.62,87,53,20,0.845,2,8.0,0.0203,0,0
food_beverage,micro,stable,22253.95,47,112,53,0.892,2,11.6,0.1256,0,0
textile,enterprise,currency_shock,9654.7,110,140,58,0.951,6,7.2,0.0602,0,5
logistics,enterprise,stable,22516.77,37,345,46,0.677,9,16.3,0.0372,0,0
food_beverage,mid_market,currency_shock,79939.61,73,51,30,0.735,2,8.4,0.0846,0,0
textile,small_business,currency_shock,361890.4,54,24,13,0.551,2,1.6,0.2185,1,89
textile,small_business,stable,59578.54,85,21,16,0.876,3,0.4,0.1187,0,4
construction,mid_market,stable,117511.77,150,47,27,0.701,2,0.6,0.1449,0,0
logistics,mid_market,stable,13150.36,82,6,6,0.969,2,11.1,0.0855,0,0
services,micro,currency_shock,56902.62,80,53,24,0.853,2,15.4,0.2955,0,19
automotive,small_business,stable,103131.76,82,76,35,0.666,4,4.2,0.1078,0,0
construction,micro,currency_shock,13078.65,116,6,3,0.863,4,1.9,0.6744,1,60
construction,small_business,stable,44404.49,90,71,29,0.835,3,10.7,0.2892,0,0
retail,small_business,stable,86005.24,18,39,19,0.56,2,6.5,0.0853,0,12
textile,mid_market,stable,22921.52,96,58,26,0.638,2,4.5,0.078,0,0
food_beverage,small_business,currency_shock,58635.8,68,120,47,0.87,4,0.8,0.1254,0,0
logistics,small_business,stable,53786.98,23,30,20,0.878,1,7.8,0.1201,0,0
agriculture,mid_market,currency_shock,30503.5,93,6,4,0.935,1,2.4,0.1581,0,0
electronics,mid_market,stable,68563.96,47,9,6,0.594,3,4.6,0.0551,0,3
construction,small_business,currency_shock,89649.59,124,79,43,0.928,4,0.7,0.4333,1,67
retail,small_business,high_inflation,65680.71,54,6,7,0.861,5,10.8,0.1452,1,28
food_beverage,small_business,high_inflation,22883.19,96,14,10,0.772,3,18.7,0.1825,1,16
textile,enterprise,currency_shock,72824.42,94,6,2,0.921,4,1.8,0.0488,0,0
services,small_business,currency_shock,7733.12,35,51,26,0.734,4,9.0,0.1414,0,0
services,mid_market,stable,128750.61,15,91,45,0.906,2,5.7,0.0296,0,0
services,micro,currency_shock,32680.78,49,14,9,0.655,2,7.6,0.2277,0,0
construction,enterprise,stable,50767.61,103,97,49,0.877,1,10.0,0.0633,0,6
food_beverage,enterprise,high_inflation,124802.25,63,161,48,0.744,0,10.9,0.0285,0,0
food_beverage,small_business,high_inflation,48037.18,65,24,14,0.474,2,9.4,0.1437,0,0
automotive,small_business,currency_shock,35223.9,42,9,4,0.888,1,4.6,0.1469,0,0
food_beverage,small_business,stable,27935.42,60,54,18,0.798,3,1.7,0.0711,0,9
textile,small_business,high_inflation,154789.31,105,84,41,0.665,0,4.5,0.2242,0,0
agriculture,mid_market,currency_shock,20014.93,106,51,28,0.805,1,0.1,0.1638,1,49
logistics,small_business,high_inflation,24769.61,55,125,55,0.885,2,1.6,0.1676,0,0
services,mid_market,currency_shock,24038.44,15,18,13,0.877,1,2.5,0.0491,0,1
food_beverage,mid_market,stable,32543.12,63,120,48,0.833,2,8.0,0.0427,1,10
automotive,enterprise,currency_shock,100235.91,67,15,8,0.491,2,0.6,0.0371,0,1
retail,mid_market,high_inflation,32172.88,15,81,25,0.892,1,2.9,0.0462,0,0
agriculture,enterprise,high_inflation,5000.0,63,22,13,0.826,2,0.8,0.0458,0,0
agriculture,small_business,currency_shock,89811.54,125,42,23,0.677,2,9.8,0.4918,1,53
agriculture,small_business,currency_shock,89447.41,108,61,43,0.862,4,1.1,0.3333,0,0
logistics,mid_market,stable,77319.33,28,68,34,0.87,2,2.0,0.0527,0,0
automotive,mid_market,stable,62634.4,59,72,38,0.545,4,1.9,0.0471,0,0
automotive,small_business,stable,82074.23,75,19,12,0.787,6,27.6,0.1674,0,0
automotive,enterprise,currency_shock,47243.04,95,20,10,0.726,0,1.2,0.0392,0,0
logistics,small_business,currency_shock,64518.99,22,23,10,0.944,3,15.3,0.2505,0,0
automotive,small_business,stable,9818.02,82,10,3,0.918,5,6.4,0.1032,0,0
textile,mid_market,currency_shock,16965.6,80,44,22,0.633,2,5.9,0.1363,0,0
automotive,small_business,currency_shock,109072.65,83,143,47,0.828,4,1.0,0.1652,0,0
automotive,mid_market,high_inflation,12232.01,88,22,11,0.902,5,18.2,0.0989,0,0
food_beverage,enterprise,stable,36459.2,69,14,10,0.637,2,9.9,0.0214,0,0
construction,small_business,high_inflation,99825.47,113,84,43,0.727,4,1.2,0.3569,0,0
textile,micro,stable,256022.39,110,6,5,0.959,8,4.5,0.2163,1,17
agriculture,small_business,stable,23727.01,87,95,43,0.733,1,15.2,0.2599,1,85
agriculture,enterprise,stable,27810.57,36,54,23,0.916,9,0.6,0.027,0,0
logistics,small_business,stable,120867.34,75,13,5,0.875,8,3.8,0.142,1,78
